tahun,indikator_wisata,satuan,nilai
2006,"Jumlah Wisman","Juta Kunjungan",1.22
2006,"Tingkat Penghunian Kamar Hotel Bintang","Persen",50.6
2006,"Tingkat Penghunian Kamar Hotel Non-Bintang","Persen",57.34
2007,"Jumlah Wisman","Juta Kunjungan",1.22
2007,"Tingkat Penghunian Kamar Hotel Bintang","Persen",50.45
2007,"Tingkat Penghunian Kamar Hotel Non-Bintang","Persen",59.32
2008,"Jumlah Wisman","Juta Kunjungan",1.53
2008,"Tingkat Penghunian Kamar Hotel Bintang","Persen",49.4
2008,"Tingkat Penghunian Kamar Hotel Non-Bintang","Persen",54.49
2009,"Jumlah Wisman","Juta Kunjungan",1.45
2009,"Tingkat Penghunian Kamar Hotel Bintang","Persen",49.91
2009,"Tingkat Penghunian Kamar Hotel Non-Bintang","Persen",55.93
2010,"Jumlah Wisman","Juta Kunjungan",1.89
2010,"Tingkat Penghunian Kamar Hotel Bintang","Persen",51.73
2010,"Tingkat Penghunian Kamar Hotel Non-Bintang","Persen",60.78
2011,"Jumlah Wisman","Juta Kunjungan",2
2011,"Tingkat Penghunian Kamar Hotel Bintang","Persen",53.06
2011,"Tingkat Penghunian Kamar Hotel Non-Bintang","Persen",61.14
2012,"Jumlah Wisman","Juta Kunjungan",2.13
2012,"Tingkat Penghunian Kamar Hotel Bintang","Persen",53.45
2012,"Tingkat Penghunian Kamar Hotel Non-Bintang","Persen",59.6
